Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.94,12.952,0.011,"2,966,532.00","2,942,013.25",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.955,12.952,0.011,"2,936,818.25","2,942,013.25",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.962,12.952,0.011,"2,922,689.25","2,942,013.25",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.293,8.449,0.203,"116,533,592.00","105,224,712.00",0.028192351,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.679,8.449,0.203,"88,990,304.00","105,224,712.00",0.027909967,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.374,8.449,0.203,"110,150,248.00","105,224,712.00",0.027775693,1,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,11.399,11.354,0.087,"8,471,048.00","8,744,705.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,11.254,11.354,0.087,"9,353,410.00","8,744,705.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,11.41,11.354,0.087,"8,409,657.00","8,744,705.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.8,8.837,0.111,"81,777,080.00","79,837,896.00",0.106103097,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.75,8.837,0.111,"84,703,984.00","79,837,896.00",0.117155016,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.961,8.837,0.111,"73,032,624.00","79,837,896.00",0.105334151,2,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.927,12.81,0.12,"2,993,531.50","3,248,348.00",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.686,12.81,0.12,"3,526,446.00","3,248,348.00",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.817,12.81,0.12,"3,225,067.00","3,248,348.00",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.119,10.143,0.044,"32,504,524.00","31,971,718.00",0.093630611,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.116,10.143,0.044,"32,572,426.00","31,971,718.00",0.110298921,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.194,10.143,0.044,"30,838,204.00","31,971,718.00",0.100872496,3,tvrR ,mit,2
procat_2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.209,12.031,0.157,"4,880,950.00","5,527,904.50",,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,11.974,12.031,0.157,"5,725,642.00","5,527,904.50",,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,11.911,12.031,0.157,"5,977,122.00","5,527,904.50",,1,procat,mit,2
procat_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.668,9.141,0.463,"44,551,940.00","66,558,124.00",0.073333647,1,procat,mit,2
procat_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.803,9.141,0.463,"81,621,312.00","66,558,124.00",0.08602469,1,procat,mit,2
procat_T2h_mit_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.952,9.141,0.463,"73,501,120.00","66,558,124.00",0.089803042,1,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.863,14.606,0.223,"800,655.88","960,859.00",,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.481,14.606,0.223,"1,038,395.13","960,859.00",,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.474,14.606,0.223,"1,043,526.19","960,859.00",,2,procat,mit,2
procat_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.82,10.911,0.108,"19,902,338.00","18,704,226.00",0.042806148,2,procat,mit,2
procat_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.884,10.911,0.108,"19,030,108.00","18,704,226.00",0.055516605,2,procat,mit,2
procat_T2h_mit_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,11.03,10.911,0.108,"17,180,236.00","18,704,226.00",0.055790931,2,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.651,12.694,0.041,"3,610,668.00","3,508,978.75",,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.697,12.694,0.041,"3,499,848.00","3,508,978.75",,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,12.733,12.694,0.041,"3,416,420.00","3,508,978.75",,3,procat,mit,2
procat_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.588,10.767,0.208,"23,409,174.00","20,792,726.00",0.173650535,3,procat,mit,2
procat_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.995,10.767,0.208,"17,611,490.00","20,792,726.00",0.168320787,3,procat,mit,2
